County Name,FIPS County Code,State FIPS Code,County FIPS Code,County Code Number,Latitude/Longitude,Time Period,Time Period Date Start,Time Period Date End,Count of Maternal Stays with Opioid Use,Type of Count,Rate of Maternal Stays with Opioid Use,Type of Rate,New Georeferenced Column
NORTHUMBERLAND,42097,42,097,49,"(40.8515092572, -76.7118842273)",CY 2016 - CY 2017,01/01/2016,12/31/2017,36,Number of maternal hospital stays with opioid use,19,Rate of maternal hospital stays with opioid use per 1000 maternal hospital stays,POINT (-76.7118842273 40.8515092572)
BLAIR,42013,42,013,7,"(40.4855502384, -78.349076871)",CY 2016 - CY 2017,01/01/2016,12/31/2017,69,Number of maternal hospital stays with opioid use,27.3,Rate of maternal hospital stays with opioid use per 1000 maternal hospital stays,POINT (-78.349076871 40.4855502384)
LEHIGH,42077,42,077,39,"(40.6146479416, -75.6009948118)",CY 2016 - CY 2017,01/01/2016,12/31/2017,72,Number of maternal hospital stays with opioid use,8.6,Rate of maternal hospital stays with opioid use per 1000 maternal hospital stays,POINT (-75.6009948118 40.6146479416)
WYOMING,42131,42,131,66,"(41.5189248803, -76.0181300338)",CY 2016 - CY 2017,01/01/2016,12/31/2017,,Not Reported due to Low Volume,11.1,Rate of maternal hospital stays with opioid use per 1000 maternal hospital stays,POINT (-76.0181300338 41.5189248803)
ARMSTRONG,42005,42,005,3,"(40.8150952555, -79.4731689893)",CY 2016 - CY 2017,01/01/2016,12/31/2017,60,Number of maternal hospital stays with opioid use,51.6,Rate of maternal hospital stays with opioid use per 1000 maternal hospital stays,POINT (-79.4731689893 40.8150952555)
LACKAWANNA,42069,42,069,35,"(41.4391006428, -75.6121834524)",CY 2016 - CY 2017,01/01/2016,12/31/2017,78,Number of maternal hospital stays with opioid use,17.2,Rate of maternal hospital stays with opioid use per 1000 maternal hospital stays,POINT (-75.6121834524 41.4391006428)
NORTHAMPTON,42095,42,095,48,"(40.754595404, -75.3126372576)",CY 2016 - CY 2017,01/01/2016,12/31/2017,87,Number of maternal hospital stays with opioid use,14.1,Rate of maternal hospital stays with opioid use per 1000 maternal hospital stays,POINT (-75.3126372576 40.754595404)
WASHINGTON,42125,42,125,63,"(40.1910966345, -80.2518008276)",CY 2016 - CY 2017,01/01/2016,12/31/2017,118,Number of maternal hospital stays with opioid use,27.9,Rate of maternal hospital stays with opioid use per 1000 maternal hospital stays,POINT (-80.2518008276 40.1910966345)
CLINTON,42035,42,035,18,"(41.2328627374, -77.6428376046)",CY 2016 - CY 2017,01/01/2016,12/31/2017,17,Number of maternal hospital stays with opioid use,24.9,Rate of maternal hospital stays with opioid use per 1000 maternal hospital stays,POINT (-77.6428376046 41.2328627374)
PERRY,42099,42,099,50,"(40.4041531744, -77.2590738496)",CY 2016 - CY 2017,01/01/2016,12/31/2017,20,Number of maternal hospital stays with opioid use,19.7,Rate of maternal hospital stays with opioid use per 1000 maternal hospital stays,POINT (-77.2590738496 40.4041531744)
YORK,42133,42,133,67,"(39.9219253124, -76.7257605231)",CY 2016 - CY 2017,01/01/2016,12/31/2017,197,Number of maternal hospital stays with opioid use,20.1,Rate of maternal hospital stays with opioid use per 1000 maternal hospital stays,POINT (-76.7257605231 39.9219253124)
CLARION,42031,42,031,16,"(41.1927912877, -79.4248360769)",CY 2016 - CY 2017,01/01/2016,12/31/2017,,Not Reported due to Low Volume,10.6,Rate of maternal hospital stays with opioid use per 1000 maternal hospital stays,POINT (-79.4248360769 41.1927912877)
HUNTINGDON,42061,42,061,31,"(40.4161050032, -77.9827661036)",CY 2016 - CY 2017,01/01/2016,12/31/2017,14,Number of maternal hospital stays with opioid use,18.3,Rate of maternal hospital stays with opioid use per 1000 maternal hospital stays,POINT (-77.9827661036 40.4161050032)
CAMBRIA,42021,42,021,11,"(40.4912749067, -78.7189417385)",CY 2016 - CY 2017,01/01/2016,12/31/2017,99,Number of maternal hospital stays with opioid use,36.3,Rate of maternal hospital stays with opioid use per 1000 maternal hospital stays,POINT (-78.7189417385 40.4912749067)
MERCER,42085,42,085,43,"(41.302377765, -80.2600941079)",CY 2016 - CY 2017,01/01/2016,12/31/2017,70,Number of maternal hospital stays with opioid use,31.9,Rate of maternal hospital stays with opioid use per 1000 maternal hospital stays,POINT (-80.2600941079 41.302377765)
LUZERNE,42079,42,079,40,"(41.1783643884, -75.991996098)",CY 2016 - CY 2017,01/01/2016,12/31/2017,89,Number of maternal hospital stays with opioid use,13,Rate of maternal hospital stays with opioid use per 1000 maternal hospital stays,POINT (-75.991996098 41.1783643884)
FAYETTE,42051,42,051,26,"(39.919447803, -79.6518963464)",CY 2016 - CY 2017,01/01/2016,12/31/2017,75,Number of maternal hospital stays with opioid use,29,Rate of maternal hospital stays with opioid use per 1000 maternal hospital stays,POINT (-79.6518963464 39.919447803)
SNYDER,42109,42,109,55,"(40.7711373692, -77.0725596804)",CY 2016 - CY 2017,01/01/2016,12/31/2017,,Not Reported due to Low Volume,10.7,Rate of maternal hospital stays with opioid use per 1000 maternal hospital stays,POINT (-77.0725596804 40.7711373692)
DELAWARE,42045,42,045,23,"(39.9165786652, -75.4062771212)",CY 2016 - CY 2017,01/01/2016,12/31/2017,218,Number of maternal hospital stays with opioid use,15.7,Rate of maternal hospital stays with opioid use per 1000 maternal hospital stays,POINT (-75.4062771212 39.9165786652)
BRADFORD,42015,42,015,8,"(41.7911781401, -76.5182562384)",CY 2016 - CY 2017,01/01/2016,12/31/2017,,Not Reported due to Low Volume,7.4,Rate of maternal hospital stays with opioid use per 1000 maternal hospital stays,POINT (-76.5182562384 41.7911781401)
SUSQUEHANNA,42115,42,115,58,"(41.8205685982, -75.8025030296)",CY 2016 - CY 2017,01/01/2016,12/31/2017,,Not Reported due to Low Volume,13.1,Rate of maternal hospital stays with opioid use per 1000 maternal hospital stays,POINT (-75.8025030296 41.8205685982)
LANCASTER,42071,42,071,36,"(40.0459079619, -76.2513876838)",CY 2016 - CY 2017,01/01/2016,12/31/2017,152,Number of maternal hospital stays with opioid use,12.3,Rate of maternal hospital stays with opioid use per 1000 maternal hospital stays,POINT (-76.2513876838 40.0459079619)
GREENE,42059,42,059,30,"(39.8548039342, -80.2294381655)",CY 2016 - CY 2017,01/01/2016,12/31/2017,16,Number of maternal hospital stays with opioid use,29,Rate of maternal hospital stays with opioid use per 1000 maternal hospital stays,POINT (-80.2294381655 39.8548039342)
PHILADELPHIA,42101,42,101,51,"(40.0044435384, -75.140236002)",CY 2016 - CY 2017,01/01/2016,12/31/2017,1084,Number of maternal hospital stays with opioid use,23,Rate of maternal hospital stays with opioid use per 1000 maternal hospital stays,POINT (-75.140236002 40.0044435384)
COLUMBIA,42037,42,037,19,"(41.0491208559, -76.4100217975)",CY 2016 - CY 2017,01/01/2016,12/31/2017,18,Number of maternal hospital stays with opioid use,14.9,Rate of maternal hospital stays with opioid use per 1000 maternal hospital stays,POINT (-76.4100217975 41.0491208559)
BEAVER,42007,42,007,4,"(40.6834924548, -80.3510735648)",CY 2016 - CY 2017,01/01/2016,12/31/2017,78,Number of maternal hospital stays with opioid use,23.4,Rate of maternal hospital stays with opioid use per 1000 maternal hospital stays,POINT (-80.3510735648 40.6834924548)
MONTOUR,42093,42,093,47,"(41.0280182438, -76.6647052668)",CY 2016 - CY 2017,01/01/2016,12/31/2017,,Not Reported due to Low Volume,4.6,Rate of maternal hospital stays with opioid use per 1000 maternal hospital stays,POINT (-76.6647052668 41.0280182438)
CHESTER,42029,42,029,15,"(39.9748705566, -75.7562649818)",CY 2016 - CY 2017,01/01/2016,12/31/2017,96,Number of maternal hospital stays with opioid use,9.8,Rate of maternal hospital stays with opioid use per 1000 maternal hospital stays,POINT (-75.7562649818 39.9748705566)
WARREN,42123,42,123,62,"(41.8167523652, -79.278581578)",CY 2016 - CY 2017,01/01/2016,12/31/2017,,Not Reported due to Low Volume,9.7,Rate of maternal hospital stays with opioid use per 1000 maternal hospital stays,POINT (-79.278581578 41.8167523652)
